chr,LOD,genetic,physical,h2,effect,interval_Mb,interval_cM,LeftCI_pos,RightCI_pos,trait,pop
8,3.7,32.3,12563519,6.6,1.14,162.8,82.9,7981844,170807917,CD,KY21
1,5.5,39.2,22253283,10.8,-3.556,11.6,13.7,10961962,22596124,CW,KY21
1,5,49.3,28421841,9.4,-3.666,12.1,14.3,22596124,34673143,CW,KY21
1,3.5,72.5,61143070,2.5,5.149,37.6,15.3,51399258,88998955,CL,KY21
2,10.9,75.8,62924337,14.4,-11.408,99.2,8.2,48109181,147310722,CL,KY21
8,5.9,93.1,163742555,7,7.972,8.3,12.1,156907035,165234875,CL,KY21
1,4.6,132.9,225130631,4.2,-0.579,26.9,13.8,204757929,231703173,KRN,M162W
1,4,144.9,241222820,4,-0.578,19.4,7.5,231703173,251143648,KRN,M162W
4,5.6,106.4,192205587,5.4,0.681,18.2,3.7,189042036,207265372,KRN,M162W
6,4.5,53.1,137079554,6.8,-0.772,14,6,129664249,143696195,KRN,M162W
9,5.9,45.9,77026388,5.5,0.658,89.4,10.3,24069231,113420650,KRN,M162W
10,3.5,61.4,134413161,6,0.67,17.3,17,124873271,142189643,KRN,M162W
1,3.7,94.9,175642801,6.1,-10.054,88.2,12.3,107365735,195557990,TKW,M162W
3,3.4,142.7,223179497,9.4,12.097,9.6,12.9,219697823,229252099,TKW,M162W
1,4.1,131.6,224078702,7.9,-0.025,23,11.9,215340335,238343143,AKW,M162W
1,5.5,124.2,213152330,10.2,-1.455,18.3,4.7,204757929,223034951,CD,M162W
2,4.6,41.8,15890017,6.1,-1.179,11.6,15.7,10516660,22069205,CD,M162W
5,7.4,69.7,91814175,12.2,1.684,87.9,7.9,73132746,160989981,CD,M162W
5,3.7,16.3,4201060,7.8,2.714,4.2,12.9,2707750,6859778,CW,M162W
5,7,62.4,58602681,12.9,3.305,37,7.3,33052110,70028590,CW,M162W
5,8.4,73.5,145869341,12.4,3.579,67.5,4.7,91814175,159288407,CW,M162W
6,4.9,27.8,102411759,5.7,7.872,21.9,10.1,92813618,114741030,CL,M162W
10,4.2,36.2,36249609,8.2,9.153,79.4,18.5,4666194,84096310,CL,M162W
1,4.2,188.2,291862723,9.3,1.024,7.7,8.2,287728786,295427860,KRN,M37W
2,7.4,50.8,20122898,13.7,1.23,8.9,6.1,15890017,24814259,KRN,M37W
3,8.5,110.2,204153246,11.1,1.116,9.8,7.8,198683470,208472941,KRN,M37W
3,6.4,134.6,219697823,9,0.994,3.7,3.8,217695856,221435924,KRN,M37W
4,4.8,25.9,9759854,9,1.005,8.3,14.9,3046717,11389227,KRN,M37W
4,3.4,107.9,199076697,5,0.765,36.6,27.8,173178376,209799999,KRN,M37W
4,4.1,118.1,230190074,7.5,1.065,23.4,13,212747880,236111113,KRN,M37W
5,5.3,69.5,89318174,10.6,1.06,96.6,9.5,62113519,158686956,KRN,M37W
1,3.1,15.6,8353076,8.5,-11.964,30.9,47.9,3733167,34673143,TKW,M37W
3,4,134,218898830,6.5,10.354,5.6,8.2,215849898,221435924,TKW,M37W
5,4.5,84,172937146,8.9,12.283,12.9,10.3,168463281,181387545,TKW,M37W
5,6.5,60.6,49897470,9.2,0.023,28.8,5.6,33285364,62113519,AKW,M37W
5,8.7,68.7,84251695,14.5,0.028,18.7,2.9,73132746,91814175,AKW,M37W
6,3.9,16.1,86257528,2,-0.012,17.6,9.1,84787343,102411759,AKW,M37W
7,4.6,81.1,148454268,3.3,-0.014,16.8,12.2,143410022,160235246,AKW,M37W
3,4.5,132.8,218484632,7,20.575,7.2,8.5,214279602,221435924,KC,M37W
6,4.6,108.2,167034073,8.9,23.228,3.4,12,163983562,167412802,KC,M37W
1,6.6,72,60165124,6.5,-1.127,12.9,4.1,51291743,64239480,CD,M37W
1,3.2,169.2,277601629,4.1,0.909,15.8,15,269322794,285137381,CD,M37W
1,3.6,183.9,287728786,5.8,1.056,9.1,13.3,285650152,294729469,CD,M37W
3,3.4,56.4,49148251,2.6,-0.765,124.4,13.6,32411529,156790687,CD,M37W
4,4.7,21.3,6408499,7.7,1.171,6.7,13.6,3046717,9759854,CD,M37W
4,10.8,88.2,175337176,16.4,1.71,5.6,3.7,173306335,178889832,CD,M37W
5,4.4,62.4,58602681,4.9,0.96,33.4,7.5,38484773,71846725,CD,M37W
5,4.9,68.1,81950336,7.3,1.161,87.4,8.5,71846725,159288407,CD,M37W
8,3.4,98.2,165411485,2.8,-0.758,6.4,13.3,161839774,168277887,CD,M37W
1,3.2,66,51399258,4.4,-2.389,164.5,52.5,32578218,197074650,CW,M37W
5,4.5,59.4,39192429,6.8,2.872,24.7,4.2,35277086,60002766,CW,M37W
5,3.5,67.5,78382179,7.1,3.04,87.4,8.4,71846725,159288407,CW,M37W
2,3.8,61.8,29679728,7.2,-8.244,18.4,13,22069205,40503046,CL,M37W
8,4.7,61.3,112677295,7.1,7.544,94.7,12.6,23959232,118679265,CL,M37W
4,12,106.7,196513728,22.1,1.518,12.4,3,189042036,201462955,KRN,MO18W
5,3.5,79.7,168463281,3,0.624,80.3,12.5,91814175,172095659,KRN,MO18W
10,3.7,52.2,130080970,5.3,0.779,15.5,16.2,124526091,139978756,KRN,MO18W
5,5.4,47,16320695,5.8,-10.13,6.5,6.2,13721672,20200581,TKW,MO18W
1,4.5,152,256513832,7.2,0.021,28.1,11.7,241222820,269322794,AKW,MO18W
8,4.6,81.6,155973496,9.9,0.027,21.4,12.9,138794731,160240426,AKW,MO18W
1,3.7,202,298436178,4.3,0.981,35.2,44.3,263200803,298436178,CD,MO18W
1,3.7,202.2,298689673,4.3,0.981,0.3,0.2,298436178,298689673,CD,MO18W
2,4.3,28.2,9962933,8.9,-1.39,6.2,14.6,6474554,12644166,CD,MO18W
2,4.6,41.5,15580132,12.6,-1.627,8.6,11.7,12644166,21285732,CD,MO18W
2,4.1,55.9,22999224,7.8,-1.306,9.6,8.8,21285732,30906065,CD,MO18W
4,6.2,86.2,175337176,21.2,2.047,5.4,3.4,173178376,178580488,CD,MO18W
1,5,151.8,256489030,9.1,2.905,28.1,15.4,241222820,269322794,CW,MO18W
2,3.5,45.8,15890017,7.9,-2.79,10.8,14.6,10516660,21285732,CW,MO18W
3,4.4,128.4,216417210,6.3,2.448,6.8,7.4,211720827,218484632,CW,MO18W
4,6,62,150464488,15.7,3.922,14.2,5.8,144840177,159073222,CW,MO18W
4,6.2,74.8,159073222,12.2,3.364,14.1,10.5,159073222,173210249,CW,MO18W
6,4.3,11.8,83229419,7.3,-2.737,28,5.6,58264144,86257528,CW,MO18W
6,3.8,22.1,95604950,4.4,-2.214,16.2,10.4,86257528,102411759,CW,MO18W
3,5.2,100.5,192221844,7.4,8.469,15.3,9.7,179994880,195315915,CL,MO18W
5,3.7,73.5,145869341,4.5,-6.339,76,25.6,112928392,188967651,CL,MO18W
1,4.9,31.7,15775282,5.1,-0.695,15.2,15.2,10961962,26202944,KRN,MS71
3,6.1,41.3,12132193,14.9,1.174,21.8,15.3,8300032,30057289,KRN,MS71
3,5.4,84.6,176295169,9.5,0.922,13.5,12.7,173473417,187005816,KRN,MS71
4,11.2,55.2,49917660,15.7,1.177,103.4,7.9,26297333,129738344,KRN,MS71
8,3.3,103.7,167092992,6.8,-0.77,7.3,25.8,165681934,172948568,KRN,MS71
10,4,74.2,139978756,2.9,0.524,7,15,137499964,144469845,KRN,MS71
5,3.2,0.2,899410,5.4,13.624,2.4,6.8,656148,3095821,KC,MS71
1,5.1,33.9,17666998,2.5,-0.641,13,18.4,9916078,22892866,CD,MS71
1,4.1,146.6,251143648,4.4,0.847,27.9,10,228563313,256489030,CD,MS71
4,5.8,55.2,49917660,13,1.368,44.2,7.8,24613495,68796507,CD,MS71
4,5.5,58.8,133926556,12.9,1.374,77.2,4,72052851,149276923,CD,MS71
4,4,102.9,189042036,12.1,1.304,11.6,6.1,186483560,198078892,CD,MS71
4,4,108.3,200539283,10.6,1.24,22.5,4.8,198078892,220606809,CD,MS71
6,6.5,16.1,86257528,0.8,-0.5,12.4,6.1,83229419,95604950,CD,MS71
7,3.4,34.4,6540311,1.7,0.546,11.5,14.6,6065421,17520294,CD,MS71
10,3.5,75.4,142189643,5,0.866,9,17.7,137995210,146999603,CD,MS71
3,3.8,96.6,182281335,4.3,-2.382,11.6,7.6,179994880,191612808,CW,MS71
3,4.3,111.2,205107723,6,-2.844,18.1,15.3,191612808,209735573,CW,MS71
4,3.4,49.4,29170943,6,2.85,51.6,15.2,15299213,66909481,CW,MS71
2,3.8,78.4,128406788,11.6,-8.797,139.2,19.4,43558423,182727562,CL,MS71
1,4.6,116,201486994,2.5,0.717,13.2,8.5,195557990,208733347,KRN,NC350
4,13.6,109.7,201462955,37.3,2.485,17.2,3.5,198078892,215267112,KRN,NC350
4,15.6,122.8,233845017,26.6,2.314,6.9,7.2,229180768,236111113,KRN,NC350
5,7.6,140,212682814,6.8,-1.115,4.7,8.2,211177741,215833640,KRN,NC350
7,3.1,85.2,148850405,1.4,0.574,152.1,50.4,6540311,158649107,KRN,NC350
3,3.5,96.7,187005816,5.3,-0.02,17.3,12.9,179994880,197247713,AKW,NC350
4,4.1,55.2,49917660,7.8,1.226,129.1,13.9,20200808,149276923,CD,NC350
4,9.2,102.9,189042036,16.5,1.731,42.7,13.2,186483560,229180768,CD,NC350
4,3.2,47.7,24613495,1.7,1.336,56.9,22.3,11916439,68796507,CW,NC350
4,3.6,65.9,155907930,0.7,0.933,6.6,3.9,149276923,155907930,CW,NC350
4,3.8,76.2,167190374,0.9,1.05,31.4,31.6,155907930,187355764,CW,NC350
6,3.5,72.3,155224898,6.6,2.274,8,13.2,148634319,156592786,CW,NC350
10,5,43.8,106952925,9.1,2.56,40.3,6.6,77678052,117991482,CW,NC350
1,3.4,54,34673143,5.6,7.207,236.5,112.7,22892866,259375688,CL,NC350
2,4.3,127.3,217658176,8.3,8.838,14.4,14.4,215089816,229478174,CL,NC350
6,5.9,44.6,120640847,14.3,11.539,21.5,8.4,110606988,132064240,CL,NC350
1,4.1,115,201486994,2.8,0.613,17.4,9.8,195557990,212951055,KRN,NC358
1,4.5,199.4,296891802,8.6,1.036,4.6,8.2,293795952,298436178,KRN,NC358
2,4.4,71.3,48665321,4.8,0.773,58.4,7.1,34700898,93130728,KRN,NC358
4,3.4,52.1,34017442,7.1,0.93,12.6,5,24613495,37230464,KRN,NC358
4,4.1,58.6,129738344,6,0.876,112,6.9,37230464,149276923,KRN,NC358
4,14.5,107.4,198078892,24.3,1.697,18.9,4.8,188385744,207265372,KRN,NC358
6,7.6,10.7,78199931,11.2,-1.175,50.4,4.7,35896206,86257528,KRN,NC358
3,4.2,54.8,32411529,9.5,-11.065,33.6,28.1,6739219,40322831,TKW,NC358
3,4.1,58.3,93184314,8.5,-10.656,112.7,11,40322831,153015938,TKW,NC358
8,4.4,95.6,164859711,5.6,-8.683,5.5,12,162756335,168277887,TKW,NC358
2,4.1,59.8,27869268,6.5,-0.019,22.3,11.3,24814259,47158891,AKW,NC358
1,6.7,180.9,286977415,9.3,1.593,6.3,7,285522257,291862723,CD,NC358
2,3.6,59.8,27869268,2.1,-0.801,15.7,6.8,24814259,40503046,CD,NC358
4,9.9,54.7,37348608,14.4,1.894,51.5,11.1,17330826,68796507,CD,NC358
4,9.3,106.7,196513728,13.9,1.864,32.2,9.2,188385744,220606809,CD,NC358
5,4.3,53.6,23265300,8.8,1.553,42.3,12.9,16320695,58602681,CD,NC358
5,3.3,65.9,71846725,8.9,1.518,25.2,4.9,64116507,89318174,CD,NC358
8,5.2,61.3,112677295,6.9,1.354,40.9,10.9,83793044,124657056,CD,NC358
2,4.8,67.9,40503046,7.2,-2.964,13.5,6.4,34567551,48109181,CW,NC358
2,4.7,79.4,128406788,7.8,-2.855,91.8,4.5,60416908,152235728,CW,NC358
4,3.3,58.6,129738344,10.3,3.265,154,36.8,24613495,178580488,CW,NC358
6,3.6,8.7,57538273,3.9,-2.078,83.3,15.1,9498146,92813618,CW,NC358
1,13.5,45.2,26202944,17,13.238,10,4.5,22596124,32578218,CL,NC358
2,15.1,67.9,40503046,22.8,-16.093,9,4.8,34567551,43558423,CL,NC358
1,4.3,125.6,213667155,6.2,0.828,12.8,6.8,204757929,217587466,KRN,OH43
3,5.3,77,167371799,8.8,0.967,21.5,16.2,158513710,179994880,KRN,OH43
4,7.6,105.4,192205587,12.3,1.136,24.2,8.2,186483560,210690738,KRN,OH43
5,3.6,90.6,181387545,8.3,-0.962,18.6,13.5,170416093,188967651,KRN,OH43
8,3.2,109.9,168277887,5.8,-0.806,5.1,14.9,165681934,170807917,KRN,OH43
1,3.5,96.5,179989172,2.3,0.015,80.1,19,115408720,195557990,AKW,OH43
3,5.4,33.7,9806074,9,-0.024,3.8,4.7,8300032,12132193,AKW,OH43
4,3.8,84.9,173306335,2.6,0.634,6.4,7.3,172522625,178889832,CD,OH43
6,3.5,73.3,155224898,3.3,-0.714,18.4,45.9,148634319,167034073,CD,OH43
7,3.9,63.4,128870878,2.9,-0.764,27.4,6.6,106754355,134137353,CD,OH43
7,4.1,76.5,143410022,2.7,-0.724,11.6,5.5,136868163,148454268,CD,OH43
7,3.7,107.2,165102982,2.4,0.648,9.6,8.5,158649107,168255169,CD,OH43
1,5.6,72.5,61143070,9.4,-3.174,16.4,7.3,51291743,67646946,CW,OH43
1,5.2,56,34673143,7.4,-7.758,15.2,6.4,28421841,43669240,CL,OH43
1,3.4,68,51399258,6.4,-7.101,8.9,5.8,46138524,55071238,CL,OH43
6,3.3,51.7,132064240,4.9,6.787,26.2,12.1,114741030,140913988,CL,OH43
1,5.7,151.8,256489030,4.5,-0.608,8.2,5.4,251143648,259375688,KRN,OH7B
4,3.8,126.9,236111113,5.3,0.649,5.5,13.4,233845017,239370714,KRN,OH7B
5,8.6,48,16320695,10.6,0.899,9.2,7.3,14060419,23265300,KRN,OH7B
2,4.3,107.9,202955053,2.6,12.316,-24.3,10.7,189447059,165136833,KC,OH7B
6,3.5,86.2,160623409,3.4,12.983,4.9,11,156520755,161454721,KC,OH7B
9,4.5,10,4009899,2.5,10.897,7.5,13.7,4009899,11500186,KC,OH7B
4,11.9,49.4,29170943,12.5,1.507,32.6,10.9,17330826,49917660,CD,OH7B
4,8.9,75.3,166911503,15.8,1.719,23.9,18.5,149276923,173210249,CD,OH7B
4,5.5,106.4,192205587,8.7,1.24,26.1,11.4,184547096,210690738,CD,OH7B
5,11.3,65.4,70028590,21,1.937,11.5,2.2,61672051,73132746,CD,OH7B
5,3.6,124.9,208270391,4.4,0.966,7.3,18.7,204909284,212240868,CD,OH7B
1,4.5,111.9,197074650,12.4,-3.535,17.5,12.8,183986082,201486994,CW,OH7B
4,3.9,81.7,173178376,5.8,2.528,19.4,17.4,155907930,175337176,CW,OH7B
4,3.6,91.7,178889832,4.6,2.317,5.4,4.9,175337176,180785427,CW,OH7B
9,3.4,41,23258907,2,1.602,81.7,14.9,17750933,99416278,CW,OH7B
5,6.6,62.3,58202730,13.3,-11.249,42.4,9,30750567,73132746,CL,OH7B
5,4.8,115.1,205308574,6.2,7.873,4.1,9.6,203625112,207708797,CL,OH7B
7,3.5,49.4,84844392,7.1,-8.449,122.3,32.9,6065421,128374374,CL,OH7B
3,3.3,54.3,30057289,6.9,0.862,58.3,14.3,9806074,68056867,KRN,P39
4,6,126.9,236111113,13.4,1.225,2.9,4.1,233845017,236701272,KRN,P39
5,5.2,58.4,39192429,8.7,1.053,43.1,13.1,15138119,58202730,KRN,P39
1,3.3,127.6,217587466,6,9.382,18.8,11.4,204259694,223034951,TKW,P39
1,3.4,136.2,228563313,4.5,8.572,15.3,7.6,223034951,238343143,TKW,P39
10,3.8,21.3,6594058,7.4,0.025,4.7,9.7,4666194,9378309,AKW,P39
1,3.7,134.8,228254601,5.4,12.82,23,11.6,215340335,238343143,KC,P39
2,4.6,35.8,10516660,2.4,-0.794,4.9,9.4,9962933,14836855,CD,P39
5,8,58.3,38484773,12.7,1.648,25.3,4,33285364,58602681,CD,P39
10,3.5,91.2,147014677,10,1.454,9.5,31.6,137995210,147460425,CD,P39
4,3.2,55.2,49917660,5.3,1.957,133.1,17.9,17330826,150464488,CW,P39
5,3.6,56.1,30750567,5.5,1.852,40.9,7.8,23265300,64116507,CW,P39
1,4.1,69,51399258,8.6,-8.493,35.1,17.5,32578218,67646946,CL,P39
5,6.5,91.1,183121294,8.2,7.974,-31,8.1,181387545,150406739,CL,P39
9,4.4,65.5,135270601,3.6,-5.901,18.1,12,122826982,140970753,CL,P39
4,8.7,107.4,198078892,17.9,1.393,15.5,3.8,191767453,207265372,KRN,TX303
5,8.4,52.8,21892861,11.2,1.1,33.6,8.5,16320695,49897470,KRN,TX303
5,10.6,73.5,145869341,12.9,1.161,92.9,9.5,71846725,164727639,KRN,TX303
5,3.3,109,201993308,5.1,0.734,14,18.2,193730972,207708797,KRN,TX303
7,3.2,134,174759613,6,0.78,6.1,16.8,169095061,175197945,KRN,TX303
2,4.2,44.8,15890017,7.9,-14.577,7.3,7.2,12644166,19917977,TKW,TX303
5,6.6,97.9,183607971,5.2,11.786,-32.7,4.9,183121294,150406739,TKW,TX303
4,3.7,102.3,187355764,8.1,-0.031,28.4,17.5,178889832,207265372,AKW,TX303
9,4.1,44.5,28399313,8.3,-0.033,90.8,11.7,23258907,114072155,AKW,TX303
2,3.8,44.8,15890017,3.8,-16.981,4.2,7.1,13851652,18075169,KC,TX303
2,7.4,82.8,167417879,8.2,-1.414,52.7,5.8,124057780,176727540,CD,TX303
4,6.2,92.7,180672091,9.6,1.477,8.8,10.1,178580488,187355764,CD,TX303
5,4,36.5,11502381,3.1,0.945,7.8,14.2,8508510,16320695,CD,TX303
9,7.6,64.5,133919472,9.4,-1.459,5.6,1.8,130918999,136515135,CD,TX303
9,6.3,74.2,140970753,8.9,-1.454,8.8,8.9,136515135,145347369,CD,TX303
2,4.9,83.1,168707481,8.2,-3.11,121.4,10.1,51815902,173250593,CW,TX303
3,4.1,130.8,217421513,4.8,2.34,10,11.2,208472941,218484632,CW,TX303
5,3.9,27.5,7256175,5.2,2.485,3.8,5.8,4201060,7985979,CW,TX303
1,3.4,42.7,22892866,5.4,8.227,17,19.5,17666998,34673143,CL,TX303
2,8.1,79.8,147310722,15.8,-14.184,112.9,8.2,51815902,164723190,CL,TX303
10,4.7,53.2,130823780,5.7,-8.488,9.5,8,124873271,134413161,CL,TX303
10,6,69.2,139978756,11.6,-12.064,5.2,8.7,136941040,142189643,CL,TX303
1,3.4,15.6,8353076,2.7,-0.651,11.2,24.5,3733167,14959203,KRN,TZI8
1,5.5,116.4,204259694,13.2,-1.281,13.2,4.1,195557990,208733347,KRN,TZI8
2,4.3,72.1,51815902,7.3,1.056,62.2,12.6,30906065,93130728,KRN,TZI8
4,4.7,111.5,215267112,9.4,1.104,47.8,18,187355764,235165898,KRN,TZI8
7,5.7,63.7,129358749,8.7,1.068,30.6,10,103507523,134137353,KRN,TZI8
6,3.6,54,138931644,5.8,15.729,34.2,24.2,120136318,154345567,KC,TZI8
4,3.9,81.6,173210249,6.3,1.126,8.1,8.9,170517844,178580488,CD,TZI8
6,5.9,11.7,82967445,9.4,-1.351,69.4,14.3,32969549,102411759,CD,TZI8
8,5.5,58,102108063,9.5,1.362,104.3,17.5,21824853,126077689,CD,TZI8
1,6.3,43.2,26202944,9.2,9.232,6.2,6.4,22253283,28421841,CL,TZI8
1,5.5,114.9,197074650,5,6.687,19.6,15.7,183986082,203587826,CL,TZI8
2,10.1,82.5,164723190,13.8,-12.314,106.6,6.9,62924337,169540624,CL,TZI8
3,3.7,113.5,132268453,4.9,0.817,47.8,13.2,98802196,146643273,KRN,RIL
3,3.8,249.9,220883090,4.3,0.725,10.8,15.4,216345341,227189929,KRN,RIL
4,11.5,146.8,174901846,15.2,1.323,8.5,4.7,169960326,178502155,KRN,RIL
4,4.6,180.8,195622079,3,0.785,17.7,13.2,186643013,204347669,KRN,RIL
5,4,148.5,182188447,4.9,0.806,144.5,48.1,44159509,188611887,KRN,RIL
7,4.1,128.7,136149232,3.4,-0.647,30.3,21,121681638,151964343,KRN,RIL
4,3.3,135.7,169960326,0.9,7.603,-146.6,-54.1,166966387,20406415,TKW,RIL
4,3.4,148.8,174901846,2.9,10.096,10.3,14.3,169960326,180247013,TKW,RIL
4,3.3,191.3,214241587,3.1,11.09,29.4,9.1,199278901,228646186,TKW,RIL
1,3.7,131.2,60477711,3.5,-0.016,37.5,36.3,43136552,80622467,AKW,RIL
4,4.4,91.4,33428644,6.2,56.282,158.1,62.3,20406415,178502155,KC,RIL
4,4,181.7,199076697,3.8,50.23,29.7,17.4,186643013,216320828,KC,RIL
4,7.1,91.4,33428644,5.8,1.133,14.8,6.5,20406415,35217409,CD,RIL
4,11.2,146.8,174901846,15.9,1.638,11.5,10.8,166966387,178502155,CD,RIL
7,4.3,97.2,121681638,4.9,-0.935,13.8,5.3,107930075,121681638,CD,RIL
7,4.3,110.2,121681638,4.9,-0.935,9.5,-3.8,121681638,131186883,CD,RIL
1,4.6,103.4,39944657,2.2,-1.867,6,4.9,37132144,43136552,CW,RIL
4,10,129.7,161027783,9.4,3.346,9.9,7.6,157024172,166966387,CW,RIL
4,4.5,189.9,204347669,3.7,2.232,20.7,10.5,195622079,216320828,CW,RIL
6,3.7,139.7,162124989,3.3,-2.129,2.2,6.8,160034425,162186357,CW,RIL
5,5.7,78.4,12580287,5.3,-9.93,5.8,11,12648226,18452570,CL,RIL
8,4.3,172.4,169863613,2.6,8.405,4.4,13.4,167125051,171536269,CL,RIL
4,4.4,105.1,43239605,3.5,0.489,116.6,23.7,40391033,157024172,KRN,BxRIL
4,6.4,150.3,178502155,8.1,0.738,7.7,10.7,173210635,180885742,KRN,BxRIL
6,4,165.9,165631246,2.8,0.377,0.9,5.3,164681393,165631246,KRN,BxRIL
7,3.9,106.2,121681638,2.7,-0.377,16,12.5,115185053,131186883,KRN,BxRIL
1,3.9,141.7,73246358,4.9,-13.206,20.1,8.2,60477711,80622467,TKW,BxRIL
1,3.2,295,249417328,1.9,-24.906,9.1,7.5,247626637,256689859,KC,BxRIL
3,3.2,154.5,181506055,2.8,-28.543,5.8,11,177420745,183257131,KC,BxRIL
4,8.9,144.1,173210635,12.9,1.263,7.9,9.4,166966387,174901846,CD,BxRIL
7,3.4,98.2,121681638,5.7,-0.77,6.5,4.5,115185053,121681638,CD,BxRIL
7,3.4,110.2,121681638,5.7,-0.77,9.5,-3.7,121681638,131186883,CD,BxRIL
8,4.2,47.9,14098273,5.5,-0.771,6.4,6.7,11527765,17967132,CD,BxRIL
4,6.5,146.1,173210635,8.2,2.86,13.3,10.5,166966387,180247013,CW,BxRIL
6,3.7,149.1,163012789,3.5,-2.575,4.6,14.8,160034425,164681393,CW,BxRIL
1,3.6,92.6,36157946,3,-6.049,18.6,25.5,24225267,42848690,CL,BxRIL
1,4.4,141.7,73246358,5.4,-7.357,20.1,7.4,60477711,80622467,CL,BxRIL
10,4,96.6,137488144,3.1,-5.89,9.5,12.2,132424031,141945595,CL,BxRIL
3,8.8,104.3,88010342,8.9,0.598,84.3,6.4,47963810,132268453,KRN,MxRIL
3,4.4,251.6,223564132,3.9,0.438,6.3,12.9,220883090,227189929,KRN,MxRIL
4,5.9,145.1,173210635,7.2,0.491,15.6,13.7,162917339,178502155,KRN,MxRIL
7,4.1,144.1,155341822,4.2,-0.375,22.7,22,134013598,156667314,KRN,MxRIL
10,5,99.6,137488144,0.7,0.179,9.5,6.4,132424031,141945595,KRN,MxRIL
5,4.9,115.5,127605503,7.4,15.19,89.5,7.6,66431706,155960517,TKW,MxRIL
8,3.5,73.7,24430576,1.3,7.345,84.2,23.3,17967132,102138780,TKW,MxRIL
5,4.9,106,66431706,5.3,37.672,125,15.1,30994484,155960517,KC,MxRIL
9,5.5,34.2,11530687,-0.2,8.714,0,5.1,11530687,11565153,KC,MxRIL
4,7.4,148.8,174901846,10.5,0.817,7,6.8,173210635,180247013,CD,MxRIL
5,3.3,101.7,34092872,4.3,0.543,35.4,8.1,30994484,66431706,CD,MxRIL
2,3.5,158.4,196329818,0.8,-0.941,9.6,13.5,196222198,205774142,CW,MxRIL
4,5.1,126.1,157771496,9.9,2.287,89.8,12.7,73093809,162917339,CW,MxRIL
4,5.1,141.7,169960326,4,1.538,6.2,0.8,166966387,173210635,CW,MxRIL
5,4.9,162.8,189774753,5.5,1.912,17.6,18.6,182188447,199787498,CW,MxRIL

