marker,Locus,ch,interval,cumulative,marker,,,,,,
PZA01422.3,L00441,4,0.6,47.7,m0447,,,,,,
PZA03048.18,L01154,4,1.1,48.3,m0448,,,,,,
PZA02002.1,L01105,4,0,49.4,m0449,,,,,,
PZA02457.1,L00648,4,2.7,49.4,m0450,,,,,,
PHM15427.11,L00042,4,0,52.1,m0451,,,,,,
PZA02705.1,L00702,4,0.7,52.1,m0452,,,,,,
PZA01106.3,L00384,4,0,52.8,m0453,,,,,,
PHM13623.14,L00029,4,0,52.8,m0454,,,,,,
PZA01713.4,L00482,4,0,52.8,m0455,,,,,,
PHM5572.19,L01001,4,0,52.8,m0456,,,,,,
PZA00541.1,L01034,4,0,52.8,m0457,,,,,,
PZA03247.1,L00792,4,0.6,52.8,m0458,,,,,,
PZA03385.1,L00810,4,0.3,53.4,m0459,,,,,,
PZA01751.2,L00491,4,1.5,53.7,m0460,,,,,,
PZA00445.22,L01028,4,0.2,55.2,m0461,,,,,,
PZA01759.1,L00494,4,0,55.4,m0462,,,,,,
PHM14055.6,L00035,4,0,55.4,m0463,,,,,,
PZA00726.8/10,L00314c,4,0,55.4,m0464,,,,,,
PHM1307.11,L00024,4,0.4,55.4,m0465,,,,,,
bt2.7/4,L00005c,4,0.2,55.8,m0466,,,,,,
PZA03254.1,L00793,4,0,56,m0467,,,,,,
PZA03587.1,L00838,4,0.1,56,m0468,,,,,,
PZA03597.1,L00840,4,0.2,56.1,m0469,,,,,,
PZA03270.2,L00796,4,0.1,56.3,m0470,,,,,,
PZA00218.1,L00202,4,0.1,56.4,m0471,,,,,,
PZA02767.1,L01144,4,0.5,56.5,m0472,,,,,,
PZA03564.1,L00831,4,0.4,57,m0473,,,,,,
PZA03203.2,L00783,4,0.3,57.4,m0474,,,,,,
PZA00104.1,L00180,4,0.2,57.7,m0475,,,,,,
PZA03231.1,L00787,4,0.4,57.9,m0476,,,,,,
PZB00093.7,L00882,4,0.3,58.3,m0477,,,,,,
PZA03409.1,L00813,4,0,58.6,m0478,,,,,,
PZA00704.1,L00308,4,0.2,58.6,m0479,,,,,,
fea2.3,L00008,4,0,58.8,m0480,,,,,,
PZA02027.1,L00547,4,0.1,58.8,m0481,,,,,,
PZA03459.1,L00817,4,1.7,58.9,m0482,,,,,,
PZA02147.1,L00575,4,1.2,60.6,m0483,,,,,,
PZA03152.3,L00763,4,0,61.8,m0484,,,,,,
PZA02982.7,L00732,4,0.2,61.8,m0485,,,,,,
PZA02992.15,L00735,4,3.9,62,m0486,,,,,,
PZA00057.2,L00167,4,3.9,65.9,m0487,,,,,,
PZA01926.1,L00524,4,5.5,69.8,m0488,,,,,,
PZA03116.1,L01156,4,0.9,75.3,m0489,,,,,,
PZA00453.2,L00262,4,1,76.2,m0490,,,,,,
PZA01289.1,L00416,4,1.2,77.2,m0491,,,,,,
PHM3155.14,L00980,4,2.2,78.4,m0492,,,,,,
PZA00271.1,L00216,4,1,80.6,m0493,,,,,,
PZA01477.3,L00453,4,0.1,81.6,m0494,,,,,,
PZA01658.1,L01091,4,0.2,81.7,m0495,,,,,,
PZA01681.1,L00478,4,3.3,81.9,m0496,,,,,,
PZA03275.4/1,L00798c,4,3.9,85.2,m0497,,,,,,
PZA01187.1,L00395,4,1.6,89.1,m0498,,,,,,
PZD00030.2,L00940,4,2,90.7,m0499,,,,,,
PHM3637.14,L00093,4,0.1,92.7,m0500,,,,,,
PZA01976.9,L01104,4,0.4,92.8,m0501,,,,,,
PZA02194.1,L00586,4,0,93.2,m0502,,,,,,
PZA02289.2,L00610,4,4.7,93.2,m0503,,,,,,
PZA01766.1,L01095,4,0.4,97.9,m0504,,,,,,
PZA01954.1,L00530,4,2.2,98.3,m0505,,,,,,
PZA00941.2,L00357,4,0.8,100.5,m0506,,,,,,
PZA00344.10,L01023,4,1.3,101.3,m0507,,,,,,
PZB01461.1,L00922,4,0.3,102.6,m0508,,,,,,
PZA00332.5,L00226,4,2.1,102.9,m0509,,,,,,
PHM4348.16,L00991,4,0.4,105,m0510,,,,,,
PZA00193.2,L01014,4,1.3,105.4,m0511,,,,,,
PZA01790.1,L00498,4,0.3,106.7,m0512,,,,,,
PZA03205.1,L00784,4,0.4,107,m0513,,,,,,
PZA01810.2,L01098,4,0.5,107.4,m0514,,,,,,
PZA01566.1,L00462,4,0.2,107.9,m0515,,,,,,
PZA02421.1,L00640,4,0.2,108.1,m0516,,,,,,
PZA02614.2,L00678,4,0.4,108.3,m0517,,,,,,
PZA02779.1,L00715,4,1.4,108.7,m0518,,,,,,
PZA01332.2,L00427,4,0.3,110.1,m0519,,,,,,
PZA03081.1,L00756,4,0.2,110.4,m0520,,,,,,
PZB01021.1,L01180,4,0.7,110.6,m0521,,,,,,
PZA02479.1,L00656,4,0.2,111.3,m0522,,,,,,
PZA00155.1,L00191,4,0.7,111.5,m0523,,,,,,
PZA03155.3,L00765,4,0.3,112.2,m0524,,,,,,
PZA00636.7,L00297,4,0,112.5,m0525,,,,,,
PZA01367.2,L00434,4,0,112.5,m0526,,,,,,
PZA00878.2,L00345,4,2.7,112.5,m0527,,,,,,
PZA00521.3,L00280,4,0.9,115.2,m0528,,,,,,
PZA00694.6,L00306,4,2.3,116.1,m0529,,,,,,
PZA02151.3,L00576,4,0.5,118.4,m0530,,,,,,
PZA00513.1,L00277,4,0.7,118.9,m0531,,,,,,
PHM5599.20,L00133,4,0.2,119.6,m0532,,,,,,
PZA02585.2,L01138,4,4.7,119.8,m0533,,,,,,
PHM5665.26,L00135,4,0,124.5,m0534,,,,,,
PZA00529.4,L01033,4,2.4,124.5,m0535,,,,,,
PHM2100.21,L00067,4,1.2,126.9,m0536,,,,,,
PZA03322.5/3,L00806c,4,1.2,128.1,m0537,,,,,,
PHM4125.11,L00988,4,6.3,129.3,m0538,,,,,,
PZA03598.1,L00841,4,1,135.6,m0539,,,,,,
PZA01905.12,L00517,4,1.5,136.6,m0540,,,,,,
PZA02239.12,L00597,4,1.6,138.1,m0541,,,,,,
PZA00682.17/2,L01042c,4,1.4,139.7,m0542,,,,,,
PZA00282.19,L01018,4,----------,141.1,m0543,,,,,,
PZA01887.1,L00514,5,0.1,0,m0544,,,,,,
PZA02367.1,L00621,5,0.1,0.1,m0545,,,,,,
PZA01983.1,L00536,5,0.4,0.2,m0546,,,,,,
PZA00818.1,L00332,5,2.9,0.6,m0547,,,,,,
PZA00191.5,L00197,5,3.7,3.5,m0548,,,,,,
PZA01438.1,L01082,5,1.9,7.2,m0549,,,,,,
PZA02316.22,L01124,5,1,9.1,m0550,,,,,,
PHM5359.10,L01000,5,0.8,10.1,m0551,,,,,,
PZA01570.1,L00463,5,2.4,10.9,m0552,,,,,,
PHM13122.43,L00025,5,8.8,13.3,m0553,,,,,,
PZA02653.12,L00686,5,3.3,22.1,m0554,,,,,,
PZA02462.1,L00649,5,0.6,25.4,m0555,,,,,,
PZB00054.3,L00880,5,1.5,26,m0556,,,,,,
PZA02753.1,L00711,5,0.9,27.5,m0557,,,,,,
PHM3137.17,L00979,5,1.8,28.4,m0558,,,,,,
PZB00094.1,L00883,5,0.1,30.2,m0559,,,,,,
PZA02029.21,L00548,5,0,30.3,m0560,,,,,,
PZA01371.1,L00436,5,0.1,30.3,m0561,,,,,,
PZA01925.1,L00523,5,0.4,30.4,m0562,,,,,,
PZA00865.1,L00343,5,5.7,30.8,m0563,,,,,,
PZB00079.4,L00881,5,1.4,36.5,m0564,,,,,,
PZA01284.6,L00415,5,0,37.9,m0565,,,,,,
PZA03092.7,L00757,5,3.6,37.9,m0566,,,,,,
PZA00112.5,L00183,5,1.2,41.5,m0567,,,,,,
PZA00985.1,L00365,5,2.7,42.7,m0568,,,,,,
PZA01327.1,L00426,5,1.6,45.4,m0569,,,,,,
PZA03578.1,L00835,5,0,47,m0570,,,,,,
PZA01523.1,L00457,5,2,47,m0571,,,,,,
PZA00517.7,L00279,5,1.8,49,m0572,,,,,,
PZA03226.3,L00785,5,0,50.8,m0573,,,,,,
PZA03274.4,L00797,5,1,50.8,m0574,,,,,,
PZA02792.26/25,L00717c,5,1.8,51.8,m0575,,,,,,
PZA01427.1,L01081,5,0.3,53.6,m0576,,,,,,
PHM565.31,L00134,5,2.2,53.9,m0577,,,,,,
PZA00934.2,L00355,5,0.1,56.1,m0578,,,,,,
PZA02113.1,L00564,5,1.1,56.2,m0579,,,,,,
PZA00801.1,L01048,5,0.2,57.3,m0580,,,,,,
PZB00869.4,L00897,5,0.1,57.5,m0581,,,,,,
PZA01563.1,L00461,5,0,57.6,m0582,,,,,,
PHM4647.8,L00110,5,0.4,57.6,m0583,,,,,,
PZA00499.3,L00273,5,0,58,m0584,,,,,,
PHM16854.3,L00971,5,0.3,58,m0585,,,,,,
PZA00981.3,L01058,5,0,58.3,m0586,,,,,,
PHM3691.18,L00983,5,0,58.3,m0587,,,,,,
PZA00996.1,L01061,5,0,58.3,m0588,,,,,,
PZA01530.1,L01085,5,0.1,58.3,m0589,,,,,,
PHM12992.5,L00962,5,2.2,58.4,m0590,,,,,,
PZA02207.1,L00589,5,1.7,60.6,m0591,,,,,,
PZA00805.1,L00330,5,0.1,62.3,m0592,,,,,,
PZA00522.12/7,L00281c,5,0,62.4,m0593,,,,,,
PZA01804.1,L01097,5,0.2,62.4,m0594,,,,,,
PZA00222.7,L00204,5,0.4,62.6,m0595,,,,,,
PHM1870.20,L00059,5,0,63,m0596,,,,,,
PZA03451.5,L00815,5,0.2,63,m0597,,,,,,
PZA02676.2,L00693,5,0.3,63.2,m0598,,,,,,
PZB01115.3,L00914,5,0.1,63.5,m0599,,,,,,
PHM3171.5,L00084,5,0.4,63.6,m0600,,,,,,
PZB00232.2,L00886,5,0,64,m0601,,,,,,
PZA01050.1,L00376,5,0.4,64,m0602,,,,,,
PHM4165.14,L00101,5,0.6,64.4,m0603,,,,,,
PZB01112.1,L00913,5,0.4,65,m0604,,,,,,
PZA01349.2,L00430,5,0.1,65.4,m0605,,,,,,
PZA02525.1,L00664,5,0.4,65.5,m0606,,,,,,
PZA03677.1,L00861,5,0,65.9,m0607,,,,,,
PHM5798.39,L00137,5,0.1,65.9,m0608,,,,,,
PZA01303.1,L00421,5,0.8,66,m0609,,,,,,
PZA00261.6,L00214,5,0,66.8,m0610,,,,,,
PZA02862.3,L00723,5,0.7,66.8,m0611,,,,,,
PZA02818.6,L01146,5,0.6,67.5,m0612,,,,,,
PZA01779.1,L00496,5,0.6,68.1,m0613,,,,,,
PZA00273.5,L01017,5,0,68.7,m0614,,,,,,
PZA01693.1,L00481,5,0.8,68.7,m0615,,,,,,
PZA03049.24,L00744,5,0.2,69.5,m0616,,,,,,
PZA00643.13,L00298,5,0.3,69.7,m0617,,,,,,
PZA00881.1,L01049,5,0,70,m0618,,,,,,
PZA02164.16,L01113,5,1.3,70,m0619,,,,,,
PZA01365.1,L00433,5,1.2,71.3,m0620,,,,,,
PZA00067.10,L00171,5,2,72.5,m0621,,,,,,
PZB01017.1,L00907,5,0.3,74.5,m0622,,,,,,
PZA01608.1,L00470,5,0.8,74.8,m0623,,,,,,
PZA01796.1,L00500,5,1.3,75.6,m0624,,,,,,
PZA00148.3,L00190,5,1.5,76.9,m0625,,,,,,
PZA02981.2,L00731,5,1.3,78.4,m0626,,,,,,
ae1.8/7,L00002c,5,0.1,79.7,m0627,,,,,,
PZA01763.2,L01094,5,0.9,79.8,m0628,,,,,,
PZA02641.2,L00682,5,0,80.7,m0629,,,,,,
PZA03536.1,L00827,5,0,80.7,m0630,,,,,,
PZA01294.2/1,L01072c,5,1,80.7,m0631,,,,,,
PZA00255.14,L00211,5,1.6,81.7,m0632,,,,,,
PZA02040.2,L00552,5,0.1,83.3,m0633,,,,,,
PZA00300.14,L00221,5,0.6,83.4,m0634,,,,,,
PZA00987.1,L01060,5,0.1,84,m0635,,,,,,
PZA01410.1,L01079,5,3.1,84.1,m0636,,,,,,
PZA03717.1,L00868,5,0,87.2,m0637,,,,,,
PZA03714.1,L00867,5,1.9,87.2,m0638,,,,,,
PZA01304.1,L00422,5,0,89.1,m0639,,,,,,
PHM1899.157,L00062,5,1.1,89.1,m0640,,,,,,
PZA02633.4,L00681,5,0.4,90.2,m0641,,,,,,
PZA02408.2,L00636,5,0,90.6,m0642,,,,,,
PZA02209.2,L00591,5,0,90.6,m0643,,,,,,
PZA02356.7,L01128,5,0,90.6,m0644,,,,,,
PHM5296.6,L00999,5,0.2,90.6,m0645,,,,,,
PZA03324.1,L01164,5,0.3,90.8,m0646,,,,,,
PZA01575.1,L00464,5,0.8,91.1,m0647,,,,,,
PZA03452.6,L01166,5,6.3,91.9,m0648,,,,,,
PZA03172.3,L00770,5,0.6,98.2,m0649,,,,,,
PZA02383.1,L00627,5,0.5,98.8,m0650,,,,,,
PZA03317.1,L00802,5,0.2,99.3,m0651,,,,,,
PZA02751.1,L01143,5,0.2,99.5,m0652,,,,,,
PZA03320.6,L00803,5,0.5,99.7,m0653,,,,,,
PZA00352.23,L00230,5,1,100.2,m0654,,,,,,
PZA02426.1,L01132,5,0.3,101.2,m0655,,,,,,
PZA02411.3,L00637,5,0.4,101.5,m0656,,,,,,
PHM532.23,L00123,5,4.3,101.9,m0657,,,,,,
PZA00652.17,L00299,5,0.2,106.2,m0658,,,,,,
PZA03024.16,L00738,5,0.6,106.4,m0659,,,,,,
PZA01142.4,L00391,5,1.8,107,m0660,,,,,,
PZA02820.17,L00718,5,0.2,108.8,m0661,,,,,,
PZA01265.1,L00409,5,1.1,109,m0662,,,,,,
PZB00765.1,L00894,5,0.1,110.1,m0663,,,,,,
PZA02060.1,L00556,5,0.1,110.2,m0664,,,,,,
PZA02513.1,L01136,5,0.4,110.3,m0665,,,,,,
PZA02667.1,L00690,5,0.2,110.7,m0666,,,,,,
PZA00395.2,L01024,5,1.1,110.9,m0667,,,,,,
PHM3512.186,L00981,5,2,112,m0668,,,,,,
PZA00963.3,L01055,5,0.3,114,m0669,,,,,,
PZA00980.1,L00364,5,0.8,114.3,m0670,,,,,,
PZA02068.1,L00557,5,8,115.1,m0671,,,,,,
PZA00545.26,L01037,5,1.8,123.1,m0672,,,,,,
PZA02015.11,L01106,5,0.3,124.9,m0673,,,,,,
PZA03167.5,L00768,5,1.2,125.2,m0674,,,,,,
PZA01259.1,L00408,5,0.8,126.4,m0675,,,,,,
PZA01680.3,L00477,5,5.4,127.2,m0676,,,,,,
PZA00836.1,L00338,5,4.4,132.6,m0677,,,,,,
PZA01140.1,L00389,5,1,137,m0678,,,,,,
PZA02390.1,L00630,5,14.3,138,m0679,,,,,,
PZA02480.1,L00657,5,1,152.3,m0680,,,,,,
PZA02769.1,L00713,5,0.1,153.3,m0681,,,,,,
PZA01060.1,L00378,5,----------,153.4,m0682,,,,,,
PHM15961.13,L00050,6,5.1,0,m0683,,,,,,
PZA00158.2,L00192,6,1.8,5.1,m0684,,,,,,
PZA03047.12,L00743,6,0.2,6.9,m0685,,,,,,
PZA00440.15/1,L00259c,6,0.7,7.1,m0686,,,,,,
PZA02948.24,L00728,6,0,7.8,m0687,,,,,,
PZA03063.21,L00749,6,0.3,7.8,m0688,,,,,,
PZA01901.1,L01100,6,0.1,8.1,m0689,,,,,,
PZA01509.1,L00456,6,0.5,8.2,m0690,,,,,,
PZA03120.1,L00760,6,0.1,8.7,m0691,,,,,,
PZA01527.1,L01084,6,1.9,8.8,m0692,,,,,,
PZA01425.2,L01080,6,0.4,10.7,m0693,,,,,,
PZA00355.2,L00231,6,0,11.1,m0694,,,,,,
PZA00427.3,L00255,6,0.2,11.1,m0695,,,,,,
PZA00543.12,L01036,6,0.4,11.3,m0696,,,,,,
PZA03069.8/4,L00752c,6,0.1,11.7,m0697,,,,,,
PZA02606.1,L00675,6,0.6,11.8,m0698,,,,,,
PZD00072.2,L00945,6,0.5,12.4,m0699,,,,,,
PZB01009.2/1,L00905c,6,0.2,12.9,m0700,,,,,,
PHM2551.31,L00975,6,0,13.1,m0701,,,,,,
PZA00006.17,L00160,6,5.5,13.1,m0702,,,,,,
PHM8909.12,L00152,6,0,18.6,m0703,,,,,,
PZA00214.1,L00201,6,3.5,18.6,m0704,,,,,,
PZA03488.1,L01168,6,5.7,22.1,m0705,,,,,,
PZA00942.2,L00358,6,0.9,27.8,m0706,,,,,,
PZB01658.1,L00925,6,4.7,28.7,m0707,,,,,,
PZA03461.1,L00818,6,8.1,33.4,m0708,,,,,,
PZA01029.1,L00370,6,0,41.5,m0709,,,,,,
PZA02048.2,L00554,6,0,41.5,m0710,,,,,,
PZA02396.14,L00632,6,0.6,41.5,m0711,,,,,,
PZA01589.2,L01087,6,1.3,42.1,m0712,,,,,,
PZA01736.1,L00488,6,0.3,43.4,m0713,,,,,,
PZA00382.17,L00242,6,0.7,43.7,m0714,,,,,,
PZA01055.1,L00377,6,0,44.4,m0715,,,,,,
lac1.3,L00009,6,0.2,44.4,m0716,,,,,,
PZA00571.1,L00289,6,1.1,44.6,m0717,,,,,,
PZA01729.1,L00486,6,0,45.7,m0718,,,,,,
PHM13020.10,L00963,6,0.2,45.7,m0719,,,,,,
PZA00473.5,L00267,6,0.4,45.9,m0720,,,,,,
PZA01591.1,L00466,6,1.7,46.3,m0721,,,,,,
PZA01552.1,L01086,6,0,48,m0722,,,,,,
PZA01618.2,L00471,6,2,48,m0723,,,,,,
PZB00414.2,L01177,6,0.7,50,m0724,,,,,,
PZA01884.1,L00512,6,1.8,50.7,m0725,,,,,,
PZA00357.19,L00232,6,0,52.5,m0726,,,,,,
PZA02262.3,L00601,6,0.6,52.5,m0727,,,,,,
PZA02328.5,L00615,6,0.9,53.1,m0728,,,,,,
PZA02187.1/2,L00584c,6,0.7,54,m0729,,,,,,
PZA02478.7,L00655,6,1,54.7,m0730,,,,,,
PZA02673.1,L00692,6,0.6,55.7,m0731,,,,,,
PZA02148.1,L01112,6,0.3,56.3,m0732,,,,,,
PZB00942.1,L00902,6,0,56.6,m0733,,,,,,
PZB01308.1,L00918,6,0.9,56.6,m0734,,,,,,
PZA03102.9,L00758,6,0.7,57.5,m0735,,,,,,
PZA02247.1,L00598,6,1,58.2,m0736,,,,,,
PHM11985.27,L00960,6,0.3,59.2,m0737,,,,,,
PZA01144.1,L00392,6,1.9,59.5,m0738,,,,,,
PZA01342.2,L00429,6,0.4,61.4,m0739,,,,,,
PZA02436.1,L00642,6,8.6,61.8,m0740,,,,,,
PZA01672.1,L00475,6,1.9,70.4,m0741,,,,,,
PZA01462.1,L00448,6,2.8,72.3,m0742,,,,,,
PZA03027.12,L00739,6,0.7,75.1,m0743,,,,,,
PHM5794.13,L00136,6,0,75.8,m0744,,,,,,
PZA00223.4,L00205,6,2.8,75.8,m0745,,,,,,
PHM4748.16,L00111,6,7.6,78.6,m0746,,,,,,
PZB01569.7,L00923,6,0.3,86.2,m0747,,,,,,
PHM4503.25,L00992,6,0.2,86.5,m0748,,,,,,
PZA00266.7,L01016,6,0.1,86.7,m0749,,,,,,
PZA01468.1,L00449,6,7.2,86.8,m0750,,,,,,
PHM7922.8,L00145,6,0.1,94,m0751,,,,,,
PZA00889.2,L01050,6,1.6,94.1,m0752,,,,,,
PZA00821.1,L00333,6,0.7,95.7,m0753,,,,,,
PZA02688.2,L01140,6,0.9,96.4,m0754,,,,,,
PZB01222.1,L00915,6,3.7,97.3,m0755,,,,,,
PZA02141.1,L00574,6,5.6,101,m0756,,,,,,
PZA00910.1,L00351,6,1.6,106.6,m0757,,,,,,
PZA01875.1,L00508,6,0.1,108.2,m0758,,,,,,
PHM4468.13,L00106,6,1.4,108.3,m0759,,,,,,
PZA02815.25,L01145,6,----------,109.7,m0760,,,,,,
PZA01426.1,L00442,7,7,0,m0761,,,,,,
PZA02035.5,L00551,7,14.8,7,m0762,,,,,,
PHM9241.13,L00154,7,4.5,21.8,m0763,,,,,,
PHM3078.12,L00977,7,2.1,26.3,m0764,,,,,,
PZA01909.1/2,L00519c,7,11.5,28.4,m0765,,,,,,
PZA02872.1,L00724,7,4,39.9,m0766,,,,,,
PZA00256.27,L00212,7,0.8,43.9,m0767,,,,,,
PHM4080.15,L00099,7,0,44.7,m0768,,,,,,
PZA03624.1,L00849,7,1.1,44.7,m0769,,,,,,
PZA03344.2,L00808,7,2,45.8,m0770,,,,,,
PHM15501.9,L00045,7,0.3,47.8,m0771,,,,,,
PZA00132.17,L00188,7,0.1,48.1,m0772,,,,,,
PHM4353.31,L00105,7,0.2,48.2,m0773,,,,,,
PZA03687.1,L00862,7,0.7,48.4,m0774,,,,,,
PZA00084.2,L00175,7,0,49.1,m0775,,,,,,
PZA01230.1,L01067,7,0,49.1,m0776,,,,,,
PZA03723.1,L00869,7,0,49.1,m0777,,,,,,
PZA02612.1,L00676,7,0,49.1,m0778,,,,,,
PZA01936.4,L00528,7,0,49.1,m0779,,,,,,
PZA03363.1,L00809,7,0,49.1,m0780,,,,,,
PZA01445.1,L00443,7,0.1,49.1,m0781,,,,,,
PZA01607.1,L00469,7,0,49.2,m0782,,,,,,
PHM4818.15,L00997,7,0,49.2,m0783,,,,,,
PHM12830.14,L00022,7,0,49.2,m0784,,,,,,
PZA00418.2,L00253,7,0,49.2,m0785,,,,,,
PHM904.21,L00153,7,0.2,49.2,m0786,,,,,,
PZA03645.1,L00855,7,0.1,49.4,m0787,,,,,,
PZA02291.1,L00611,7,0,49.5,m0788,,,,,,
PZA01210.1/2,L00399c,7,0.5,49.5,m0789,,,,,,
PZA02018.1,L00545,7,0.2,50,m0790,,,,,,
PZA01113.1,L00385,7,0.5,50.2,m0791,,,,,,
PZA01933.3,L00525,7,0.5,50.7,m0792,,,,,,
PZA02236.1,L01118,7,10.2,51.2,m0793,,,,,,
PZA02365.7,L00620,7,1.8,61.4,m0794,,,,,,
PZA00616.13,L00293,7,0.2,63.2,m0795,,,,,,
PZA01690.7,L01092,7,0.3,63.4,m0796,,,,,,
PZA01946.7,L00529,7,0,63.7,m0797,,,,,,
PZA00986.1,L01059,7,1.2,63.7,m0798,,,,,,
PZA02352.1,L00617,7,4.9,64.9,m0799,,,,,,
PZA02643.1,L00683,7,0,69.8,m0800,,,,,,
PZA01714.1,L00483,7,0,69.8,m0801,,,,,,
PZA03583.1,L00837,7,1.4,69.8,m0802,,,,,,
PZB00752.1,L00892,7,0.3,71.2,m0803,,,,,,
PZD00054.1,L00943,7,0.7,71.5,m0804,,,,,,
PZA01542.1,L00460,7,0.5,72.2,m0805,,,,,,
PZA00740.3,L00317,7,0,72.7,m0806,,,,,,
PZA00111.10,L00182,7,0.6,72.7,m0807,,,,,,
PZA02449.13,L00643,7,0.1,73.3,m0808,,,,,,
PZA02984.10,L00733,7,1.9,73.4,m0809,,,,,,
PZA03728.1,L00870,7,0.9,75.3,m0810,,,,,,
PZA03166.1,L00767,7,0.3,76.2,m0811,,,,,,
PZA02854.13,L00722,7,0,76.5,m0812,,,,,,
PHM9162.135,L01006,7,0.5,76.5,m0813,,,,,,
PZA00405.7/6,L00248c,7,4.1,77,m0814,,,,,,
PHM16437.20,L00970,7,0.1,81.1,m0815,,,,,,
PZA02722.1,L00703,7,8.2,81.2,m0816,,,,,,
PZA03176.4,L00771,7,2.8,89.4,m0817,,,,,,
PZA02260.2,L00600,7,0,92.2,m0818,,,,,,
PHM112.8,L00958,7,3,92.2,m0819,,,,,,
PZA02386.2,L00628,7,10,95.2,m0820,,,,,,
PZA00795.1,L00327,7,5.5,105.2,m0821,,,,,,
PZA02373.1,L00623,7,1.1,110.7,m0822,,,,,,
PHM7898.10,L00144,7,0.4,111.8,m0823,,,,,,
PZA02223.2,L00595,7,0.1,112.2,m0824,,,,,,
PHM10225.15,L00010,7,0.4,112.3,m0825,,,,,,
PZA01533.2,L00458,7,0.7,112.7,m0826,,,,,,
PZA00505.6,L00274,7,1.2,113.4,m0827,,,,,,
PZA01802.3,L00502,7,0.8,114.6,m0828,,,,,,
PZA01414.1,L00440,7,2.2,115.4,m0829,,,,,,
PZA01028.2,L00369,7,0.2,117.6,m0830,,,,,,
PZA00386.4,L00244,7,2.6,117.8,m0831,,,,,,
PZA00695.3,L00307,7,0.4,120.4,m0832,,,,,,
PZB00605.1,L01179,7,0.3,120.8,m0833,,,,,,
PZA01278.2,L00412,7,12.9,121.1,m0834,,,,,,
PZA01744.1,L00490,7,0.1,134,m0835,,,,,,
PZA00424.1,L01026,7,0.3,134.1,m0836,,,,,,
PZA01044.1,L01063,7,0.6,134.4,m0837,,,,,,
PZA02274.1,L00606,7,----------,135,m0838,,,,,,
PZA02388.1,L00629,8,9.8,0,m0839,,,,,,
PZA02174.2,L00580,8,0.7,9.8,m0840,,,,,,
PZA01600.2,L01088,8,4.3,10.5,m0841,,,,,,
PZA01623.3,L01089,8,2.3,14.8,m0842,,,,,,
PZA00368.1,L00237,8,0.5,17.1,m0843,,,,,,
PZA00058.1,L00168,8,0.7,17.6,m0844,,,,,,
PHM4711.14,L00996,8,2.4,18.3,m0845,,,,,,
PZA00416.7,L00252,8,0.5,20.7,m0846,,,,,,
PZA01601.1,L00468,8,8.6,21.2,m0847,,,,,,
PZA03178.1,L01158,8,0.4,29.8,m0848,,,,,,
PZA01691.1,L00480,8,1.9,30.2,m0849,,,,,,
PHM9695.8,L00157,8,0.2,32.1,m0850,,,,,,
PZA01951.1,L01102,8,4.1,32.3,m0851,,,,,,
PZA01079.1,L00382,8,0.7,36.4,m0852,,,,,,
PZA02955.3,L00729,8,2.2,37.1,m0853,,,,,,
PZA01357.2,L01076,8,2.4,39.3,m0854,,,,,,
PZA02528.1,L00666,8,0.3,41.7,m0855,,,,,,
PZA02454.2,L00646,8,5.4,42,m0856,,,,,,
PHM1978.111,L00974,8,1.2,47.4,m0857,,,,,,
PHM6428.11,L00142,8,0,48.6,m0858,,,,,,
PZA01186.1,L00394,8,1.3,48.6,m0859,,,,,,
PZA00758.1,L00322,8,0.1,49.9,m0860,,,,,,
PHM2350.17,L00072,8,0.6,50,m0861,,,,,,
PZA01196.2,L00397,8,1.8,50.6,m0862,,,,,,
PZA00498.5,L00272,8,0,52.4,m0863,,,,,,
PZA01209.1,L00398,8,0,52.4,m0864,,,,,,
PZA02203.1,L00587,8,0.3,52.4,m0865,,,,,,
PZA00793.2,L00326,8,0.3,52.7,m0866,,,,,,
PZA01960.1,L00531,8,0,53,m0867,,,,,,
PZA00379.2,L00238,8,0,53,m0868,,,,,,
PZA00717.15,L00312,8,0,53,m0869,,,,,,
PZA01257.1,L00407,8,0.4,53,m0870,,,,,,
PHM11114.7,L00015,8,0.5,53.4,m0871,,,,,,
PZA01470.1,L00450,8,0.8,53.9,m0872,,,,,,
PZA01301.1,L01073,8,0,54.7,m0873,,,,,,
PZA01363.2,L01077,8,0.1,54.7,m0874,,,,,,
PZA02522.1,L00663,8,0,54.8,m0875,,,,,,
PZA01297.1,L00420,8,1.2,54.8,m0876,,,,,,
PZA02683.1,L00697,8,1.5,56,m0877,,,,,,
PHM3978.104,L00986,8,0,57.5,m0878,,,,,,
PZA00908.2,L00350,8,0.2,57.5,m0879,,,,,,
PZA03135.1,L00761,8,0.3,57.7,m0880,,,,,,
PZA02019.1,L00546,8,1.7,58,m0881,,,,,,
PHM4134.8,L00100,8,0,59.7,m0882,,,,,,
PZA03579.1,L00836,8,0,59.7,m0883,,,,,,
PZA00739.1,L00316,8,1.6,59.7,m0884,,,,,,
PZA01972.14,L00534,8,0.2,61.3,m0885,,,,,,
PZA02566.1,L00672,8,0.4,61.5,m0886,,,,,,
PZA01072.1,L00380,8,0.4,61.9,m0887,,,,,,
PZA03012.7,L00737,8,1,62.3,m0888,,,,,,
PHM934.19,L01007,8,0.2,63.3,m0889,,,,,,
PZA02748.3,L01141,8,0.6,63.5,m0890,,,,,,
PZA03638.1,L00853,8,0,64.1,m0891,,,,,,
